Entry	Gene Name	TCDB
P41212	ETV6	Unknown
P41214	EIF2D	Unknown
P41217	CD200	Unknown
P41218	MNDA	Unknown
P41219	PRPH	Unknown
P41220	RGS2	Unknown
P41221	WNT5A	Unknown
P41222	PTGDS	1.C.3.5.1;
P41223	BUD31	Unknown
P41225	SOX3	Unknown
P41226	UBA7	Unknown
P41227	NAA10	Unknown
P41229	KDM5C	Unknown
P41231	P2RY2	9.A.14.13.16;
P41235	HNF4A	Unknown
P41236	PPP1R2	Unknown
P41238	APOBEC1	Unknown
P41240	CSK	Unknown
P41247	PNPLA4	Unknown
P41250	GARS1	Unknown
P41252	IARS1	Unknown
P41271	NBL1	Unknown
P41273	TNFSF9	Unknown
P41279	MAP3K8	Unknown
P41439	FOLR3	Unknown
P41440	SLC19A1	2.A.48.1.1;
P41567	EIF1	Unknown
P41586	ADCYAP1R1	9.A.14.4.8;
P41587	VIPR2	Unknown
P41594	GRM5	9.A.14.7.8;
P41595	HTR2B	9.A.14.3.7;
P41597	CCR2	Unknown
P41732	TSPAN7	8.A.40.1.2;
P41743	PRKCI	Unknown
P41968	MC3R	Unknown
P41970	ELK3	Unknown
P42025	ACTR1B	Unknown
P42081	CD86	Unknown
P42126	ECI1	Unknown
P42127	ASIP	Unknown
P42166	TMPO	Unknown
P42167	TMPO	Unknown
P42224	STAT1	Unknown
P42226	STAT6	Unknown
P42229	STAT5A	Unknown
P42261	GRIA1	1.A.10.1.23;
P42262	GRIA2	1.A.10.1.13;
P42263	GRIA3	1.A.10.1.4;
P42285	MTREX	Unknown
P42330	AKR1C3	Unknown
P42331	ARHGAP25	Unknown
P42336	PIK3CA	Unknown
P42338	PIK3CB	Unknown
P42345	MTOR	Unknown
P42356	PI4KA	Unknown
P42357	HAL	Unknown
P42566	EPS15	Unknown
P42568	MLLT3	Unknown
P42574	CASP3	8.A.217.1.1;
P42575	CASP2	Unknown
P42658	DPP6	8.A.51.1.1;
P42677	RPS27	Unknown
P42679	MATK	Unknown
P42680	TEC	Unknown
P42681	TXK	Unknown
P42684	ABL2	Unknown
P42685	FRK	Unknown
P42694	HELZ	Unknown
P42695	NCAPD3	Unknown
P42701	IL12RB1	Unknown
P42702	LIFR	Unknown
P42704	LRPPRC	Unknown
P42765	ACAA2	Unknown
P42766	RPL35	Unknown
P42768	WAS	Unknown
P42771	CDKN2A	Unknown
P42772	CDKN2B	Unknown
P42773	CDKN2C	Unknown
P42785	PRCP	Unknown
P42830	CXCL5	Unknown
P42857	NSG1	Unknown
P42858	HTT	8.A.222.1.1;
P42892	ECE1	Unknown
P42898	MTHFR	Unknown
P43003	SLC1A3	2.A.23.2.6;
P43004	SLC1A2	2.A.23.2.7;
P43005	SLC1A1	2.A.23.2.3;
P43007	SLC1A4	2.A.23.3.1;
P43026	GDF5	Unknown
P43034	PAFAH1B1	Unknown
P43080	GUCA1A	Unknown
P43088	PTGFR	Unknown
P43115	PTGER3	9.A.14.9.2;
P43116	PTGER2	Unknown
P43119	PTGIR	Unknown
P43121	MCAM	8.A.23.1.64;
P43146	DCC	Unknown
P43155	CRAT	4.C.2.1.1;
P43166	CA7	Unknown
P43220	GLP1R	9.A.14.4.6;
P43234	CTSO	Unknown
P43235	CTSK	Unknown
P43243	MATR3	Unknown
P43246	MSH2	Unknown
P43250	GRK6	Unknown
P43251	BTD	Unknown
P43268	ETV4	Unknown
P43304	GPD2	Unknown
P43307	SSR1	3.A.5.9.1;
P43308	SSR2	8.A.191.1.1;
P43320	CRYBB2	Unknown
P43351	RAD52	Unknown
P43353	ALDH3B1	Unknown
P43354	NR4A2	Unknown
P43355	MAGEA1	Unknown
P43356	MAGEA2	Unknown
P43357	MAGEA3	Unknown
P43358	MAGEA4	Unknown
P43360	MAGEA6	Unknown
P43361	MAGEA8	Unknown
P43364	MAGEA11	Unknown
P43365	MAGEA12	Unknown
P43378	PTPN9	Unknown
P43403	ZAP70	Unknown
P43405	SYK	Unknown
P43487	RANBP1	Unknown
P43489	TNFRSF4	Unknown
P43490	NAMPT	Unknown
P43626	KIR2DL1	Unknown
P43628	KIR2DL3	Unknown
P43629	KIR3DL1	Unknown
P43630	KIR3DL2	Unknown
P43631	KIR2DS2	Unknown
P43632	KIR2DS4	Unknown
P43652	AFM	Unknown
P43657	LPAR6	Unknown
P43681	CHRNA4	1.A.9.1.6;
P43686	PSMC4	Unknown
P43694	GATA4	Unknown
P43699	NKX2-1	Unknown
P43897	TSFM	Unknown
P45378	TNNT3	Unknown
P45379	TNNT2	Unknown
P45381	ASPA	Unknown
P45452	MMP13	Unknown
P45844	ABCG1	3.A.1.204.12;
P45877	PPIC	Unknown
P45880	VDAC2	1.B.8.1.12;
P45954	ACADSB	Unknown
P45973	CBX5	Unknown
P45974	USP5	Unknown
P45983	MAPK8	Unknown
P45984	MAPK9	Unknown
P45985	MAP2K4	Unknown
P46013	MKI67	Unknown
P46019	PHKA2	Unknown
P46020	PHKA1	Unknown
P46059	SLC15A1	2.A.17.4.9;
P46060	RANGAP1	1.I.1.1.3;
P46063	RECQL	Unknown
P46087	NOP2	Unknown
P46089	GPR3	9.A.14.2.7;
P46091	CMKLR2	Unknown
P46092	CCR10	Unknown
P46093	GPR4	9.A.14.13.45;
P46094	XCR1	Unknown
P46095	GPR6	Unknown
P46098	HTR3A	1.A.9.2.1;
P46100	ATRX	Unknown
P46108	CRK	Unknown
P46109	CRKL	Unknown
P46199	MTIF2	Unknown
P46379	BAG6	Unknown
P46439	GSTM5	Unknown
P46459	NSF	1.F.1.1.1;
P46527	CDKN1B	Unknown
P46531	NOTCH1	9.B.87.1.12;
P46597	ASMT	Unknown
P46663	BDKRB1	Unknown
P46695	IER3	Unknown
P46721	SLCO1A2	2.A.60.1.14;
P46734	MAP2K3	Unknown
P46736	BRCC3	Unknown
P46776	RPL27A	Unknown
P46777	RPL5	Unknown
P46778	RPL21	Unknown
P46779	RPL28	Unknown
P46781	RPS9	Unknown
P46782	RPS5	Unknown
P46783	RPS10	Unknown
P46821	MAP1B	Unknown
P46926	GNPDA1	Unknown
P46934	NEDD4	8.A.30.1.2;
P46937	YAP1	Unknown
P46939	UTRN	Unknown
P46940	IQGAP1	Unknown
P46952	HAAO	Unknown
P46976	GYG1	Unknown
P46977	STT3A	9.B.142.3.17;9.B.142.3.4;
P47211	GALR1	Unknown
P47224	RABIF	Unknown
P47710	CSN1S1	Unknown
P47712	PLA2G4A	Unknown
P47736	RAP1GAP	Unknown
P47755	CAPZA2	Unknown
P47756	CAPZB	Unknown
P47775	GPR12	Unknown
P47804	RGR	Unknown
P47813	EIF1AX	Unknown
P47869	GABRA2	1.A.9.5.2;
P47870	GABRB2	1.A.9.5.2;
P47871	GCGR	9.A.14.4.13;
P47872	SCTR	9.A.14.4.10;
P47895	ALDH1A3	Unknown
P47897	QARS1	Unknown
P47898	HTR5A	Unknown
P47900	P2RY1	9.A.14.13.22;
P47901	AVPR1B	9.A.14.10.2;
P47902	CDX1	Unknown
P47914	RPL29	Unknown
P47928	ID4	Unknown
P47929	LGALS7	Unknown
P47974	ZFP36L2	Unknown
P47985	UQCRFS1	Unknown
P47989	XDH	Unknown
P47992	XCL1	Unknown
P48023	FASLG	8.A.177.1.1;
P48029	SLC6A8	2.A.22.3.11;
P48039	MTNR1A	9.A.14.1.3;
P48047	ATP5PO	3.A.2.1.15;
P48048	KCNJ1	1.A.2.1.1;
P48050	KCNJ4	1.A.2.1.18;
P48051	KCNJ6	1.A.2.1.10;
P48052	CPA2	Unknown
P48058	GRIA4	Unknown
P48059	LIMS1	Unknown
P48061	CXCL12	Unknown
P48065	SLC6A12	2.A.22.3.1;
P48066	SLC6A11	2.A.22.3.9;
P48067	SLC6A9	2.A.22.2.12;
P48145	NPBWR1	Unknown
P48146	NPBWR2	9.A.14.13.13;
P48147	PREP	Unknown
P48163	ME1	Unknown
P48165	GJA8	1.A.24.1.5;
P48167	GLRB	1.A.9.3.1;
P48169	GABRA4	1.A.9.5.17;
P48200	IREB2	Unknown
P48201	ATP5MC3	3.A.2.1.15;
P48230	TM4SF4	8.A.75.1.1;
P48304	REG1B	Unknown
P48307	TFPI2	Unknown
P48357	LEPR	Unknown
P48378	RFX2	Unknown
P48380	RFX3	Unknown
P48382	RFX5	Unknown
P48426	PIP4K2A	Unknown
P48431	SOX2	Unknown
P48436	SOX9	Unknown
P48443	RXRG	Unknown
P48444	ARCN1	Unknown
P48448	ALDH3B2	Unknown
P48449	LSS	Unknown
P48454	PPP3CC	Unknown
P48506	GCLC	Unknown
P48507	GCLM	Unknown
P48509	CD151	8.A.40.1.15;
P48539	PCP4	Unknown
P48544	KCNJ5	1.A.2.1.3;
P48546	GIPR	9.A.14.4.5;
P48547	KCNC1	1.A.1.2.24;
P48549	KCNJ3	1.A.2.1.12;
P48551	IFNAR2	Unknown
P48552	NRIP1	Unknown
P48553	TRAPPC10	Unknown
P48556	PSMD8	Unknown
P48594	SERPINB4	Unknown
P48595	SERPINB10	Unknown
P48634	PRRC2A	Unknown
P48637	GSS	Unknown
P48643	CCT5	Unknown
P48645	NMU	Unknown
P48651	PTDSS1	Unknown
P48664	SLC1A6	2.A.23.2.8;
P48668	KRT6C	Unknown
P48681	NES	Unknown
P48723	HSPA13	Unknown
P48728	AMT	Unknown
P48729	CSNK1A1	Unknown
P48730	CSNK1D	Unknown
P48735	IDH2	Unknown
P48736	PIK3CG	Unknown
P48739	PITPNB	Unknown
P48740	MASP1	Unknown
P48742	LHX1	Unknown
P48745	CCN3	8.A.87.1.6;
P48751	SLC4A3	2.A.31.1.3;
P48764	SLC9A3	2.A.36.1.15;
P48775	TDO2	Unknown
P48788	TNNI2	Unknown
P48960	ADGRE5	9.A.14.6.2;
P48995	TRPC1	1.A.4.1.3;
P49005	POLD2	Unknown
P49006	MARCKSL1	Unknown
P49019	HCAR3	9.A.14.13.43;
P49023	PXN	Unknown
P49069	CAMLG	3.A.19.1.1;
P49116	NR2C2	Unknown
P49137	MAPKAPK2	Unknown
P49146	NPY2R	9.A.14.13.33;
P49184	DNASE1L1	Unknown
P49189	ALDH9A1	Unknown
P49190	PTH2R	Unknown
P49207	RPL34	Unknown
P49221	TGM4	Unknown
P49238	CX3CR1	Unknown
P49247	RPIA	Unknown
P49257	LMAN1	9.B.417.1.1;
P49279	SLC11A1	2.A.55.2.3;
P49281	SLC11A2	2.A.55.2.1;
P49286	MTNR1B	Unknown
P49321	NASP	Unknown
P49326	FMO5	Unknown
P49327	FASN	Unknown
P49335	POU3F4	Unknown
P49336	CDK8	Unknown
P49354	FNTA	Unknown
P49356	FNTB	Unknown
P49366	DHPS	Unknown
P49368	CCT3	Unknown
P49407	ARRB1	8.A.136.1.1;
P49411	TUFM	Unknown
P49418	AMPH	Unknown
P49419	ALDH7A1	Unknown
P49427	CDC34	Unknown
P49447	CYB561	5.B.2.1.4;
P49448	GLUD2	Unknown
P49450	CENPA	Unknown
P49454	CENPF	Unknown
P49458	SRP9	3.A.5.9.1;
P49459	UBE2A	Unknown
P49585	PCYT1A	Unknown
P49588	AARS1	Unknown
P49589	CARS1	Unknown
P49590	HARS2	Unknown
P49591	SARS1	Unknown
P49593	PPM1F	Unknown
P49619	DGKG	Unknown
P49638	TTPA	Unknown
P49639	HOXA1	Unknown
P49640	EVX1	Unknown
P49641	MAN2A2	Unknown
P49642	PRIM1	Unknown
P49643	PRIM2	Unknown
P49662	CASP4	Unknown
P49674	CSNK1E	Unknown
P49675	STAR	Unknown
P49682	CXCR3	Unknown
P49683	PRLHR	Unknown
P49685	GPR15	Unknown
P49703	ARL4D	Unknown
P49711	CTCF	Unknown
P49715	CEBPA	Unknown
P49716	CEBPD	Unknown
P49720	PSMB3	Unknown
P49721	PSMB2	Unknown
P49736	MCM2	Unknown
P49746	THBS3	Unknown
P49747	COMP	Unknown
P49748	ACADVL	Unknown
P49753	ACOT2	Unknown
P49754	VPS41	Unknown
P49755	TMED10	9.B.188.1.4;
P49756	RBM25	Unknown
P49757	NUMB	Unknown
P49758	RGS6	Unknown
P49759	CLK1	Unknown
P49760	CLK2	Unknown
P49761	CLK3	Unknown
P49763	PGF	Unknown
P49765	VEGFB	8.A.245.1.2;
P49767	VEGFC	8.A.245.1.3;
P49768	PSEN1	1.A.54.1.1;
P49770	EIF2B2	Unknown
P49771	FLT3LG	Unknown
P49773	HINT1	Unknown
P49788	RARRES1	Unknown
P49789	FHIT	Unknown
P49790	NUP153	1.I.1.1.3;
P49792	RANBP2	1.I.1.1.3;
P49795	RGS19	Unknown
P49796	RGS3	Unknown
P49798	RGS4	Unknown
P49802	RGS7	Unknown
P49810	PSEN2	1.A.54.1.2;
P49815	TSC2	Unknown
P49821	NDUFV1	Unknown
P49840	GSK3A	Unknown
P49841	GSK3B	Unknown
P49842	WHR1	Unknown
P49848	TAF6	Unknown
P49862	KLK7	Unknown
P49863	GZMK	Unknown
P49888	SULT1E1	Unknown
P49895	DIO1	Unknown
P49901	SMCP	Unknown
P49902	NT5C2	Unknown
P49903	SEPHS1	Unknown
P49908	SELENOP	9.B.87.1.45;
P49910	ZNF165	Unknown
P49913	CAMP	1.C.33.1.10;
P49914	MTHFS	Unknown
P49915	GMPS	Unknown
P49916	LIG3	Unknown
P49917	LIG4	Unknown
P49918	CDKN1C	Unknown
P49959	MRE11	Unknown
P49961	ENTPD1	Unknown
P50052	AGTR2	9.A.14.13.41;
P50053	KHK	Unknown
P50135	HNMT	Unknown
P50148	GNAQ	Unknown
P50150	GNG4	Unknown
P50151	GNG10	Unknown
P50213	IDH3A	Unknown
P50219	MNX1	Unknown
P50221	MEOX1	Unknown
P50222	MEOX2	Unknown
P50225	SULT1A1	Unknown
P50226	SULT1A2	Unknown
P50238	CRIP1	Unknown
P50281	MMP14	8.B.14.2.3;
P50336	PPOX	Unknown
P50391	NPY4R	Unknown
P50395	GDI2	Unknown
P50402	EMD	Unknown
P50406	HTR6	Unknown
P50416	CPT1A	4.C.2.1.3;
P50440	GATM	Unknown
P50443	SLC26A2	2.A.53.2.1;
P50452	SERPINB8	Unknown
P50453	SERPINB9	Unknown
P50454	SERPINH1	Unknown
P50458	LHX2	Unknown
P50461	CSRP3	Unknown
P50479	PDLIM4	Unknown
P50502	ST13	Unknown
P50539	MXI1	Unknown
P50542	PEX5	Unknown
P50548	ERF	Unknown
P50549	ETV1	Unknown
P50552	VASP	Unknown
P50553	ASCL1	Unknown
P50570	DNM2	1.R.1.1.1;8.A.34.1.4;
P50579	METAP2	Unknown
P50583	NUDT2	Unknown
P50591	TNFSF10	8.A.177.1.9;
P50607	TUB	Unknown
P50613	CDK7	Unknown
P50616	TOB1	Unknown
P50747	HLCS	Unknown
P50748	KNTC1	Unknown
P50749	RASSF2	Unknown
P50750	CDK9	Unknown
P50851	LRBA	Unknown
P50876	RNF144A	Unknown
P50895	BCAM	Unknown
P50897	PPT1	Unknown
P50914	RPL14	Unknown
P50990	CCT8	Unknown
P50991	CCT4	3.A.33.1.1;
P50993	ATP1A2	3.A.3.1.1;
P50995	ANXA11	3.A.5.9.1;
P51003	PAPOLA	Unknown
P51114	FXR1	Unknown
P51116	FXR2	Unknown
P51124	GZMM	Unknown
P51148	RAB5C	Unknown
P51149	RAB7A	8.A.248.1.2;9.A.3.1.1;
P51151	RAB9A	Unknown
P51153	RAB13	Unknown
P51157	RAB28	Unknown
P51159	RAB27A	Unknown
P51160	PDE6C	Unknown
P51161	FABP6	Unknown
P51164	ATP4B	3.A.3.1.2;
P51168	SCNN1B	1.A.6.1.1;
P51170	SCNN1G	1.A.6.1.1;
P51172	SCNN1D	1.A.6.1.1;
P51178	PLCD1	Unknown
P51397	DAP	Unknown
P51398	DAP3	Unknown
P51449	RORC	Unknown
P51451	BLK	Unknown
P51452	DUSP3	Unknown
P51460	INSL3	Unknown
P51511	MMP15	Unknown
P51512	MMP16	Unknown
P51513	NOVA1	Unknown
P51530	DNA2	Unknown
P51531	SMARCA2	Unknown
P51532	SMARCA4	Unknown
P51553	IDH3G	Unknown
P51570	GALK1	Unknown
P51571	SSR4	Unknown
P51572	BCAP31	3.A.5.9.1;
P51575	P2RX1	Unknown
P51580	TPMT	Unknown
P51582	P2RY4	Unknown
P51587	BRCA2	Unknown
P51589	CYP2J2	Unknown
P51606	RENBP	Unknown
P51608	MECP2	Unknown
P51610	HCFC1	Unknown
P51617	IRAK1	Unknown
P51636	CAV2	8.A.104.1.11;
P51648	ALDH3A2	Unknown
P51649	ALDH5A1	Unknown
P51654	GPC3	Unknown
P51659	HSD17B4	Unknown
P51665	PSMD7	Unknown
P51668	UBE2D1	Unknown
P51671	CCL11	Unknown
P51674	GPM6A	Unknown
P51677	CCR3	Unknown
P51679	CCR4	Unknown
P51681	CCR5	Unknown
P51684	CCR6	Unknown
P51685	CCR8	Unknown
P51686	CCR9	Unknown
P51687	SUOX	Unknown
P51688	SGSH	Unknown
P51690	ARSL	Unknown
P51692	STAT5B	Unknown
P51693	APLP1	Unknown
P51784	USP11	Unknown
P51787	KCNQ1	1.A.1.15.6;
P51788	CLCN2	2.A.49.2.12;
P51790	CLCN3	Unknown
P51793	CLCN4	2.A.49.2.8;
P51795	CLCN5	2.A.49.2.16;
P51797	CLCN6	Unknown
P51798	CLCN7	2.A.49.3.3;
P51800	CLCNKA	Unknown
P51801	CLCNKB	2.A.49.2.15;
P51805	PLXNA3	Unknown
P51808	DYNLT3	Unknown
P51809	VAMP7	Unknown
P51810	GPR143	9.A.14.20.1;
P51811	XK	2.A.112.1.1;
P51812	RPS6KA3	Unknown
P51813	BMX	Unknown
P51814	ZNF41	Unknown
P51816	AFF2	Unknown
P51817	PRKX	Unknown
P51825	AFF1	Unknown
P51826	AFF3	Unknown
P51828	ADCY7	Unknown
P51841	GUCY2F	Unknown
P51843	NR0B1	Unknown
P51854	TKTL1	Unknown
P51857	AKR1D1	Unknown
P51858	HDGF	Unknown
P51864	CRIPTO3	Unknown
P51878	CASP5	Unknown
P51884	LUM	Unknown
P51888	PRELP	Unknown
P51911	CNN1	Unknown
P51946	CCNH	Unknown
P51948	MNAT1	Unknown
P51955	NEK2	Unknown
P51956	NEK3	Unknown
P51957	NEK4	Unknown
P51959	CCNG1	Unknown
P51965	UBE2E1	Unknown
P51970	NDUFA8	Unknown
P51991	HNRNPA3	Unknown
P51993	FUT6	Unknown
P52179	MYOM1	Unknown
P52198	RND2	Unknown
P52209	PGD	Unknown
P52272	HNRNPM	Unknown
P52292	KPNA2	1.I.1.1.3;
P52294	KPNA1	1.I.1.1.3;
P52298	NCBP2	9.A.60.1.1;
P52306	RAP1GDS1	Unknown
P52333	JAK3	Unknown
P52429	DGKE	Unknown
P52434	POLR2H	Unknown
P52435	POLR2J	Unknown
P52564	MAP2K6	Unknown
P52565	ARHGDIA	Unknown
P52566	ARHGDIB	Unknown
P52569	SLC7A2	2.A.3.3.8;
P52594	AGFG1	Unknown
P52597	HNRNPF	Unknown
P52630	STAT2	Unknown
P52655	GTF2A1	Unknown
P52657	GTF2A2	Unknown
P52701	MSH6	Unknown
P52732	KIF11	Unknown
P52735	VAV2	1.F.3.1.4;
P52736	ZNF133	Unknown
P52738	ZNF140	Unknown
P52739	ZNF131	Unknown
P52742	ZNF135	Unknown
P52744	ZNF138	Unknown
P52747	ZNF143	Unknown
P52756	RBM5	Unknown
P52757	CHN2	Unknown
P52758	RIDA	Unknown
P52788	SMS	Unknown
P52789	HK2	Unknown
P52790	HK3	Unknown
P52797	EFNA3	Unknown
P52798	EFNA4	Unknown
P52799	EFNB2	Unknown
P52803	EFNA5	Unknown
P52815	MRPL12	Unknown
P52823	STC1	Unknown
P52824	DGKQ	Unknown
P52848	NDST1	Unknown
P52849	NDST2	Unknown
P52888	THOP1	Unknown
P52895	AKR1C2	Unknown
P52907	CAPZA1	Unknown
P52926	HMGA2	Unknown
P52945	PDX1	Unknown
P52948	NUP98	1.I.1.1.3;
P52951	GBX2	Unknown
P52952	NKX2-5	Unknown
P52954	LBX1	Unknown
P52961	ART1	Unknown
P53004	BLVRA	Unknown
P53007	SLC25A1	2.A.29.7.2;
P53041	PPP5C	Unknown
P53350	PLK1	Unknown
P53355	DAPK1	8.A.104.1.15;
P53365	ARFIP2	Unknown
P53367	ARFIP1	Unknown
P53370	NUDT6	Unknown
P53384	NUBP1	Unknown
P53396	ACLY	Unknown
P53420	COL4A4	Unknown
P53539	FOSB	Unknown
P53567	CEBPG	Unknown
P53582	METAP1	Unknown
P53597	SUCLG1	Unknown
P53602	MVD	Unknown
P53609	PGGT1B	Unknown
P53611	RABGGTB	Unknown
P53618	COPB1	Unknown
P53621	COPA	Unknown
P53634	CTSC	Unknown
P53667	LIMK1	Unknown
P53671	LIMK2	Unknown
P53672	CRYBA2	Unknown
P53673	CRYBA4	Unknown
P53674	CRYBB1	Unknown
P53675	CLTCL1	8.A.137.1.2;
P53677	AP3M2	Unknown
P53680	AP2S1	9.B.278.1.4;
P53701	HCCS	Unknown
P53708	ITGA8	Unknown
P53778	MAPK12	Unknown
P53779	MAPK10	Unknown
P53794	SLC5A3	2.A.21.3.14;
P53801	PTTG1IP	Unknown
P53803	POLR2K	Unknown
P53804	TTC3	Unknown
P53805	RCAN1	Unknown
P53814	SMTN	Unknown
P53816	PLAAT3	Unknown
P53985	SLC16A1	2.A.1.13.1;
P53990	IST1	Unknown
P53992	SEC24C	Unknown
P53999	SUB1	Unknown
P54098	POLG	Unknown
P54105	CLNS1A	1.A.47.1.1;
P54107	CRISP1	Unknown
P54108	CRISP3	Unknown
P54132	BLM	Unknown
P54136	RARS1	Unknown
P54198	HIRA	Unknown
P54219	SLC18A1	2.A.1.2.12;
P54252	ATXN3	Unknown
P54253	ATXN1	Unknown
P54257	HAP1	Unknown
P54259	ATN1	Unknown
P54274	TERF1	Unknown
P54277	PMS1	Unknown
P54278	PMS2	Unknown
P54284	CACNB3	8.A.22.1.3;
P54289	CACNA2D1	8.A.18.1.1;
P54296	MYOM2	Unknown
P54315	PNLIPRP1	Unknown
P54317	PNLIPRP2	Unknown
P54368	OAZ1	Unknown
P54577	YARS1	Unknown
P54578	USP14	Unknown
P54619	PRKAG1	Unknown
P54646	PRKAA2	8.A.104.1.1;
P54652	HSPA2	Unknown
P54687	BCAT1	Unknown
P54707	ATP12A	3.A.3.1.13;
P54709	ATP1B3	3.A.3.1.1;
P54710	FXYD2	1.A.27.2.1;
P54725	RAD23A	Unknown
P54727	RAD23B	Unknown
P54750	PDE1A	Unknown
P54753	EPHB3	Unknown
P54756	EPHA5	Unknown
P54760	EPHB4	8.A.23.1.15;
P54762	EPHB1	Unknown
P54764	EPHA4	Unknown
P54802	NAGLU	Unknown
P54803	GALC	Unknown
P54819	AK2	Unknown
P54821	PRRX1	Unknown
P54826	GAS1	Unknown
P54829	PTPN5	Unknown
P54840	GYS2	Unknown
P54845	NRL	Unknown
P54849	EMP1	Unknown
P54851	EMP2	Unknown
P54852	EMP3	Unknown
P54855	UGT2B15	Unknown
P54868	HMGCS2	Unknown
P54886	ALDH18A1	Unknown
P54920	NAPA	Unknown
P54922	ADPRH	Unknown
P55000	SLURP1	8.A.31.1.3;
P55001	MFAP2	Unknown
P55008	AIF1	Unknown
P55010	EIF5	Unknown
P55011	SLC12A2	2.A.30.1.4;
P55017	SLC12A3	2.A.30.1.12;
P55036	PSMD4	Unknown
P55039	DRG2	Unknown
P55040	GEM	Unknown
P55042	RRAD	Unknown
P55055	NR1H2	Unknown
P55056	APOC4	Unknown
P55058	PLTP	1.C.40.1.4;
P55060	CSE1L	1.I.1.1.3;
P55061	TMBIM6	1.A.14.1.1;
P55064	AQP5	1.A.8.8.9;
P55072	VCP	3.A.16.1.1;
P55073	DIO3	Unknown
P55075	FGF8	Unknown
P55081	MFAP1	Unknown
P55083	MFAP4	Unknown
P55084	HADHB	Unknown
P55085	F2RL1	9.A.14.13.12;
P55087	AQP4	1.A.8.8.5;
P55089	UCN	Unknown
P55107	GDF10	Unknown
P55145	MANF	Unknown
P55157	MTTP	Unknown
P55160	NCKAP1L	Unknown
P55196	AFDN	Unknown
P55197	MLLT10	Unknown
P55198	MLLT6	Unknown
P55199	ELL	Unknown
P55201	BRPF1	Unknown
P55209	NAP1L1	Unknown
P55210	CASP7	8.A.217.1.1;
P55211	CASP9	8.A.217.1.1;
P55212	CASP6	Unknown
P55259	GP2	Unknown
P55263	ADK	Unknown
P55265	ADAR	Unknown
P55268	LAMB2	Unknown
P55273	CDKN2D	Unknown
P55283	CDH4	Unknown
P55285	CDH6	Unknown
P55286	CDH8	Unknown
P55287	CDH11	Unknown
P55289	CDH12	Unknown
P55290	CDH13	Unknown
P55291	CDH15	Unknown
P55316	FOXG1	Unknown
P55317	FOXA1	Unknown
P55318	FOXA3	Unknown
P55327	TPD52	Unknown
P55344	LIM2	Unknown
P55345	PRMT2	Unknown
P55347	PKNOX1	Unknown
P55735	SEC13	1.I.1.1.3;
P55769	SNU13	Unknown
P55771	PAX9	Unknown
P55773	CCL23	Unknown
P55774	CCL18	Unknown
P55786	NPEPPS	Unknown
P55789	GFER	Unknown
P55795	HNRNPH2	Unknown
P55809	OXCT1	Unknown
P55851	UCP2	2.A.29.3.4;
P55854	SUMO3	Unknown
P55884	EIF3B	Unknown
P55895	RAG2	Unknown
P55899	FCGRT	9.A.75.1.4;
P55916	UCP3	2.A.29.3.5;
P55957	BID	Unknown
P56134	ATP5MF	3.A.2.1.15;
P56159	GFRA1	Unknown
P56177	DLX1	Unknown
P56178	DLX5	Unknown
P56179	DLX6	Unknown
P56180	TPTE	Unknown
P56181	NDUFV3	Unknown
P56182	RRP1	Unknown
P56192	MARS1	Unknown
P56199	ITGA1	8.A.54.1.1;
P56202	CTSW	Unknown
P56211	ARPP19	Unknown
P56270	MAZ	Unknown
P56279	TCL1A	Unknown
P56282	POLE2	Unknown
P56373	P2RX3	1.A.7.1.6;
P56377	AP1S2	Unknown
P56378	ATP5MJ	Unknown
P56381	ATP5F1E	Unknown
P56385	ATP5ME	3.A.2.1.15;
P56470	LGALS4	Unknown
P56524	HDAC4	Unknown
P56537	EIF6	Unknown
P56539	CAV3	1.F.1.2.1;8.A.26.1.7;
P56545	CTBP2	Unknown
P56556	NDUFA6	Unknown
P56557	TMEM50B	9.B.199.1.2;
P56559	ARL4C	Unknown
P56589	PEX3	9.A.17.1.2;
P56597	NME5	Unknown
P56645	PER3	Unknown
P56693	SOX10	Unknown
P56696	KCNQ4	1.A.1.15.4;
P56703	WNT3	Unknown
P56704	WNT3A	Unknown
P56705	WNT4	Unknown
P56706	WNT7B	Unknown
P56715	RP1	9.B.449.1.1;
P56730	PRSS12	Unknown
P56746	CLDN15	1.H.1.1.9;
P56747	CLDN6	Unknown
P56748	CLDN8	1.H.1.1.7;
P56750	CLDN17	1.H.1.1.13;
P56817	BACE1	8.A.32.1.1;
P56851	EDDM3B	Unknown
P56856	CLDN18	Unknown
P56880	CLDN20	Unknown
P56915	GSC	Unknown
P56937	HSD17B7	Unknown
P56945	BCAR1	Unknown
P56962	STX17	8.A.91.1.11;
P56975	NRG3	Unknown
P57052	RBM11	Unknown
P57053	H2BC12L	Unknown
P57054	PIGP	Unknown
P57055	RIPPLY3	Unknown
P57057	SLC37A1	2.A.1.4.7;
P57059	SIK1	8.A.104.1.14;
P57071	PRDM15	Unknown
P57073	SOX8	Unknown
P57075	UBASH3A	Unknown
P57076	CFAP298	Unknown
P57078	RIPK4	Unknown
P57081	WDR4	Unknown
P57082	TBX4	Unknown
P57086	SCAND1	Unknown
P57087	JAM2	Unknown
P57088	TMEM33	8.A.124.1.3;
P57103	SLC8A3	2.A.19.3.3;
P57105	SYNJ2BP	8.A.24.1.5;
P57678	GEMIN4	Unknown
P57679	EVC	Unknown
P57682	KLF3	Unknown
P57721	PCBP3	Unknown
